### 墨西哥队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| 前锋 | 布卡约·萨卡 (Bukayo Saka) | 阿森纳 | **48** |
| 前锋 | 马库斯·拉什福德 (Marcus Rashford) | 巴塞罗那 | **70** |
| 前锋 | 安东尼·戈登 (Anthony Gordon) | 纽卡斯尔联 | **17** |
| 前锋 | 诺尼·马杜埃凯 (Noni Madueke) | 阿森纳 | **10** |
| 前锋 | 奥利·沃特金斯 (Ollie Watkins) | 阿斯顿维拉 | 数据待核实 |
| 前锋 | 伊万·托尼 (Ivan Toney) | 吉达国民 | 数据待核实 |
### 🇭🇷 克罗地亚队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 多米尼克·利瓦科维奇 (Dominik Livaković) | 萨格勒布迪纳摩 | **73** |
| 门将 | 多米尼克·科塔尔斯基 (Dominik Kotarski) | 哥本哈根 | **3** |
| 门将 | 伊沃·潘杜 (Ivor Pandur) | 赫尔城 | **0** |
| 后卫 | 约什科·格瓦迪奥尔 (Joško Gvardiol) | 曼城 | **46** |
| 后卫 | 杜耶·卡莱塔-卡尔 (Duje Ćaleta-Car) | 皇家社会 | **38** |
| 后卫 | 约瑟普·舒塔洛 (Josip Šutalo) | 阿贾克斯 | **31** |
| 后卫 | 约西普·斯塔尼希奇 (Josip Stanišić) | 拜仁慕尼黑 | **29** |
| 后卫 | 马林·庞格拉契奇 (Marin Pongračić) | 佛罗伦萨 | **18** |
| 后卫 | 马丁·埃尔利奇 (Martin Erlić) | 中日德兰 | **12** |
| 后卫 | 卢卡·武什科维奇 (Luka Vušković) | 汉堡 | **4** |
| 中场 | 卢卡·莫德里奇 (Luka Modrić, 队长) | AC米兰 | **196** |
| 中场 | 马特奥·科瓦契奇 (Mateo Kovačić) | 曼城 | **111** |
| 中场 | 马里奥·帕萨利奇 (Mario Pašalić) | 亚特兰大 | **83** |
| 中场 | 尼古拉·弗拉西奇 (Nikola Vlašić) | 都灵 | **61** |
| 中场 | 卢卡·苏西奇 (Luka Sučić) | 皇家社会 | **19** |
| 中场 | 马丁·巴图里纳 (Martin Baturina) | 科莫 | **17** |
| 中场 | 克里斯蒂扬·亚基奇 (Kristijan Jakić) | 奥格斯堡 | **16** |
| 中场 | 佩塔尔·苏契奇 (Petar Sučić) | 国际米兰 | **15** |
| 中场 | 尼古拉·莫罗 (Nikola Moro) | 博洛尼亚 | **9** |
| 中场 | 托尼·弗鲁克 (Toni Fruk) | 里耶卡 | **7** |
| 前锋 | 伊万·佩里西奇 (Ivan Perišić) | 埃因霍温 | **152** |
| 前锋 | 安德烈·克拉马里奇 (Andrej Kramarić) | 霍芬海姆 | **114** |
| 前锋 | 安特·布迪米尔 (Ante Budimir) | 奥萨苏纳 | **36** |
| 前锋 | 伊戈尔·马塔诺维奇 (Igor Matanović) | 弗赖堡 | **8** |
| 前锋 | 佩塔尔·穆萨 (Petar Musa) | 达拉斯FC | **10** |
| 前锋 | 马尔科·帕萨利奇 (Marco Pašalić) | 奥兰多城 | **13** |
### 🇬🇭 加纳队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 劳伦斯·阿蒂-齐吉 (Lawrence Ati-Zigi) | 圣加仑 | **28** |
| 门将 | 本杰明·阿萨雷 (Benjamin Asare) | 阿克雷斯奥克 | **10** |
| 门将 | 约瑟夫·阿南 (Joseph Anang) | 圣帕特里克竞技 | **1** |
| 后卫 | 阿卜杜勒·拉赫曼·巴巴 (Abdul Rahman Baba) | PAOK | **52** |
| 后卫 | 吉迪恩·门萨 (Gideon Mensah) | 欧塞尔 | **39** |
| 后卫 | 阿利杜·塞杜 (Alidu Seidu) | 雷恩 | **23** |
| 后卫 | 杰罗姆·奥波库 (Jerome Opoku) | 伊斯坦布尔 | **10** |
| 后卫 | 乔纳斯·阿杰蒂 (Jonas Adjetey) | 沃尔夫斯堡 | **9** |
| 后卫 | 阿卜杜勒·穆明 (Abdul Mumin) | 巴列卡诺 | **4** |
| 后卫 | 科乔·奥蓬·佩普拉 (Kojo Peprah Oppong) | 尼斯 | **4** |
| 后卫 | 德里克·卢卡森 (Derrick Luckassen) | 帕福斯 | **1** |
| 后卫 | 马尔文·塞纳亚 (Marvin Senaya) | 欧塞尔 | **1** |
| 中场 | 托马斯·帕尔特伊 (Thomas Partey) | 比利亚雷亚尔 | **56** |
| 中场 | 安托万·塞梅尼奥 (Antoine Semenyo) | 曼城 | **34** |
| 中场 | 埃利沙·奥乌苏 (Elisha Owusu) | 欧塞尔 | **19** |
| 中场 | 凯莱布·伊伦基 (Caleb Yirenkyi) | 北西兰 | **10** |
| 中场 | 夸西·西博 (Kwasi Sibo) | 皇家奥维耶多 | **7** |
| 中场 | 奥古斯丁·博阿基耶 (Augustine Boakye) | 圣埃蒂安 | **0** |
| 前锋 | 乔丹·阿尤 (Jordan Ayew, 队长) | 莱斯特城 | **117** |
| 前锋 | 阿卜杜勒·法塔武·伊萨哈库 (Abdul Fatawu Issahaku) | 莱斯特城 | **27** |
| 前锋 | 卡马尔丁·苏莱曼纳 (Kamaldeen Sulemana) | 亚特兰大 | **27** |
| 前锋 | 伊纳基·威廉姆斯 (Iñaki Williams) | 毕尔巴鄂竞技 | **25** |
| 前锋 | 欧内斯特·努瓦马 (Ernest Nuamah) | 里昂 | **18** |
| 前锋 | 克里斯托弗·邦苏·巴 (Christopher Bonsu Baah) | 卡迪西亚 | 数据待核实 |
| 前锋 | 布兰登·托马斯-阿桑特 (Brandon Thomas-Asante) | 考文垂 | **7** |
| 前锋 | 普林斯·夸贝纳·阿杜 (Prince Kwabena Adu) | 比尔森胜利 | 数据待核实 |
### 🇵🇦 巴拿马队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 路易斯·梅希亚 (Luis Mejía) | 民族(乌拉圭) | **56** |
| 门将 | 奥兰多·莫斯克拉 (Orlando Mosquera) | 费哈(沙特) | **46** |
| 门将 | 塞萨尔·萨穆迪奥 (César Samudio) | 马拉松(洪都拉斯) | **4** |
| 后卫 | 埃里克·戴维斯 (Eric Davis) | 普拉亚阿马多尔 | **104** |
| 后卫 | 菲德尔·埃斯科瓦尔 (Fidel Escobar) | 萨普里萨(哥斯达黎加) | **96** |
| 后卫 | 阿米尔·穆里略 (Amir Murillo) | 贝西克塔斯 | **91** |
| 后卫 | 罗德里克·米勒 (Roderick Miller) | 图兰托武兹(阿塞拜疆) | **48** |
| 后卫 | 安德烈斯·安德拉德 (Andrés Andrade) | LASK林茨 | **47** |
| 后卫 | 塞萨尔·布莱克曼 (César Blackman) | 布拉迪斯拉发 | **37** |
| 后卫 | 何塞·科尔多瓦 (José Córdoba) | 诺维奇 | **30** |
| 后卫 | 希奥瓦尼·拉莫斯 (Jiovany Ramos) | 卡韦略港(委内瑞拉) | **20** |
| 后卫 | 豪尔赫·古铁雷斯 (Jorge Gutiérrez) | 拉瓜伊拉(委内瑞拉) | **17** |
| 后卫 | 埃德加多·法里尼亚 (Edgardo Fariña) | 下诺夫哥罗德 | **15** |
| 中场 | 阿尼瓦尔·戈多伊 (Aníbal Godoy) | 圣迭戈FC | **159** |
| 中场 | 阿尔韦托·金特罗 (Alberto Quintero) | 普拉亚阿马多尔 | **140** |
| 中场 | 约埃尔·巴尔塞纳斯 (Yoel Bárcenas) | 自由身 | **101** |
| 中场 | 阿达尔韦托·卡拉斯基亚 (Adalberto Carrasquilla) | 国立自治大学 | **73** |
| 中场 | 何塞·路易斯·罗德里格斯 (José Luis Rodríguez) | 华雷斯 | **67** |
| 中场 | 克里斯蒂安·马丁内斯 (Cristian Martínez) | 基尔亚特什莫纳 | **63** |
| 中场 | 塞萨尔·亚尼斯 (César Yanis) | 科布雷萨尔 | **55** |
| 中场 | 卡洛斯·哈维 (Carlos Harvey) | 明尼苏达联 | **25** |
| 中场 | 阿扎里亚斯·隆多尼奥 (Azarías Londoño) | 天主教大学 | **10** |
| 前锋 | 何塞·法哈尔多 (José Fajardo) | 天主教大学 | **65** |
| 前锋 | 伊斯梅尔·迪亚斯 (Ismael Díaz) | 莱昂 | **54** |
| 前锋 | 塞西利奥·沃特曼 (Cecilio Waterman) | 康塞普西翁大学 | **52** |
| 前锋 | 托马斯·罗德里格斯 (Tomás Rodríguez) | 萨普里萨 | **11** |
